# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
18.000000 7.000000 1639856.666036 5329564.223775 -28410.078958
18.000000 8.000000 1632915.468641 5335577.313797 -32327.534134
18.000000 9.000000 1626097.613506 5341483.553650 -36628.104592
18.000000 10.000000 1619455.179862 5347237.827616 -41376.045258
18.000000 11.000000 1612901.651825 5352915.083543 -46335.639624
19.000000 0.000000 1698820.207197 5291715.185610 -15059.238185
19.000000 1.000000 1691275.686685 5298250.928426 -15629.276526
19.000000 2.000000 1683751.899118 5304768.710500 -16565.412228
19.000000 3.000000 1676262.384554 5311256.802213 -17901.005085
19.000000 4.000000 1668826.044386 5317698.829477 -19676.346156
19.000000 5.000000 1661466.833417 5324074.040486 -21940.618351
19.000000 6.000000 1654198.504007 5330370.521707 -24671.017030
19.000000 7.000000 1647088.231005 5336530.080240 -28048.983615
19.000000 8.000000 1640097.733291 5342585.878636 -31816.616870
19.000000 9.000000 1633275.721060 5348495.719740 -36091.514064
19.000000 10.000000 1626592.975133 5354284.915835 -40736.129270
19.000000 11.000000 1619992.109511 5360003.179839 -45572.491707
20.000000 0.000000 1705927.951837 5298788.306391 -14736.249424
20.000000 1.000000 1698386.201290 5305321.649614 -15368.150891
20.000000 2.000000 1690865.994939 5311836.329316 -16348.030627
20.000000 3.000000 1683382.731403 5318319.005825 -17737.217214
20.000000 4.000000 1675947.856287 5324759.763930 -19526.106778
20.000000 5.000000 1668581.695989 5331140.995073 -21762.017382
20.000000 6.000000 1661335.525610 5337418.280147 -24568.571530
20.000000 7.000000 1654168.878627 5343626.674897 -27729.114045
20.000000 8.000000 1647155.624324 5349702.187099 -31447.626655
20.000000 9.000000 1640302.549457 5355638.937454 -35632.961322
20.000000 10.000000 1633573.039738 5361468.644556 -40167.916859
20.000000 11.000000 1626983.302688 5367177.267989 -45045.275836
21.000000 0.000000 1713200.949709 5305718.269946 -14308.897514
21.000000 1.000000 1705666.109564 5312245.626758 -15048.459435
21.000000 2.000000 1698153.775650 5318753.486645 -16128.757928
21.000000 3.000000 1690672.995146 5325234.012128 -17547.862290
21.000000 4.000000 1683240.958766 5331672.311065 -19363.479732
21.000000 5.000000 1675875.745492 5338052.721811 -21600.275399
21.000000 6.000000 1668598.476964 5344356.946900 -24294.527308
21.000000 7.000000 1661422.653857 5350573.290835 -27422.464001
21.000000 8.000000 1654379.129629 5356675.025571 -31039.898664
21.000000 9.000000 1647511.603787 5362624.294662 -35189.344508
21.000000 10.000000 1640704.667591 5368521.075547 -39509.661354
21.000000 11.000000 1634139.879543 5374208.085909 -44438.061070
22.000000 0.000000 1720397.838088 5312714.166395 -13794.767870
22.000000 1.000000 1712873.379426 5319232.529831 -14708.244945
22.000000 2.000000 1705370.393272 5325732.291848 -15896.204368
22.000000 3.000000 1697899.812805 5332203.981142 -17400.082571
22.000000 4.000000 1690477.744826 5338633.644551 -19274.962409
22.000000 5.000000 1683112.310372 5345014.246903 -21510.873135
22.000000 6.000000 1675822.284496 5351329.523556 -24148.461536
22.000000 7.000000 1668637.300868 5357553.803158 -27229.751791
22.000000 8.000000 1661563.352084 5363681.894384 -30737.476029
22.000000 9.000000 1654644.530026 5369675.600874 -34760.705405
22.000000 10.000000 1647854.393693 5375557.828206 -39137.084217
22.000000 11.000000 1641200.036813 5381322.431154 -43864.036333
23.000000 0.000000 1729599.549885 5317973.304328 -12876.097834
