along_strike_index,down_dip_index,cen_x,cen_y,cen_z
24,4,1709433.9831241951,5348673.022555822,-17966.979269889252
24,5,1702046.2751420012,5355072.920242844,-20070.489816865396
24,6,1694713.0655531737,5361425.606515652,-22457.715004741905
24,7,1687457.441438917,5367711.081266232,-25226.7827562473
24,8,1680308.8117198788,5373903.867840163,-28452.99816348497
24,9,1673224.588790398,5380040.859455156,-31919.695565999933
24,10,1666289.750986572,5386048.4402268315,-35867.88579996982
24,11,1659508.2900504277,5391923.152148915,-40269.2527783677
24,12,1652889.818447957,5397656.668038061,-45058.904286436045
25,0,1749528.8644569733,5327169.716069626,-10013.334118241784
25,1,1742086.6946949312,5333616.793452938,-11702.984625280787
25,2,1734640.4901939847,5340067.366090293,-13390.42723216932
25,3,1727206.1244022176,5346507.68297205,-15166.950744946014
25,4,1719787.1241429758,5352934.688846346,-17069.955791605033
25,5,1712395.5205894248,5359337.961227953,-19155.45877635365
25,6,1705051.203730906,5365700.269617631,-21507.615661184966
25,7,1697778.7195993038,5372000.3500329545,-24205.411573497975
25,8,1690565.7877321446,5378248.840915993,-27182.242829923707
25,9,1683420.8544430519,5384438.4253095575,-30425.18776884542
25,10,1676416.235943729,5390506.456401249,-34176.161790368715
25,11,1669523.6720789038,5396477.415681512,-38257.69029226973
25,12,1662831.8975217426,5402274.433188657,-42885.63237554918
25,13,1656217.9833088946,5408004.001056661,-47707.608076417906
26,0,1762430.8749143314,5329223.322206205,-7457.047715346139
26,1,1755044.3992842846,5335622.152318863,-9567.471623852205
26,2,1747638.4606775185,5342037.84301399,-11560.976480507637
26,3,1740228.437970902,5348457.071724053,-13530.892379538198
26,4,1732814.6574117164,5354879.555824289,-15468.308556308986
26,5,1725418.755844404,5361286.551532319,-17526.423708548697
26,6,1718051.4127685435,5367668.80730425,-19753.578995017175
26,7,1710727.6590855937,5374013.302020177,-22203.92961325136
26,8,1703455.5087011582,5380313.093313661,-24898.601150648457
26,9,1696252.2564473194,5386553.198844294,-27905.44388993024
26,10,1689121.7831281754,5392730.256710219,-31209.03124278734
26,11,1682126.921613973,5398789.835423088,-34962.66176286971
26,12,1675257.8428840367,5404740.449765406,-39106.80240973964
26,13,1668534.961133602,5410564.415123597,-43658.84091227659
26,14,1662017.2920133655,5416210.60682851,-48696.823328561266
27,0,1772886.6524938687,5333396.075468579,-5587.463359250769
27,1,1765563.7584495472,5339739.825488142,-8062.769711541836
27,2,1758202.457055413,5346116.8474114975,-10327.138321386097
27,3,1750818.462909002,5352513.5278396495,-12452.855267570452
27,4,1743428.5418341237,5358915.342706776,-14538.951957140489
27,5,1736040.5965261003,5365315.445986796,-16629.1287270182
27,6,1728671.122587203,5371699.547704108,-18835.384467927208
27,7,1721329.9592713504,5378059.12421125,-21190.774310364493
27,8,1714033.4807444562,5384379.990731724,-23792.102524477043
27,9,1706779.4405021064,5390664.09338988,-26578.60173416753
27,10,1699601.5872017916,5396882.196060586,-29696.99759616823
27,11,1692550.5590439558,5402990.431376224,-33291.89430893461
27,12,1685603.3283293503,5409008.748002813,-37210.098489269985
27,13,1678764.0952812606,5414933.507328842,-41451.049206295924
27,14,1672050.6304155001,5420749.314933833,-46032.15575879562
28,0,1782332.1053170285,5338444.062983182,-4538.952148178969
28,1,1775059.2623961782,5344744.45421405,-7236.843969904218
28,2,1767743.2431283093,5351082.248683391,-9667.383237259812
28,3,1760384.0449059892,5357457.448649996,-11921.147530822001
28,4,1753011.5583825544,5363844.160139224,-14054.522503689057
28,5,1745627.964045213,5370240.49421677,-16173.806765914856
28,6,1738250.8889081473,5376631.180776186,-18302.56517853111
28,7,1730893.6676269984,5383004.668138388,-20568.09468689083
28,8,1723570.2700796344,5389348.85433761,-23032.343179151798
28,9,1716285.1519339506,5395659.879473231,-25669.045642931644
28,10,1709077.3974589468,5401903.885233121,-28675.75372720007
28,11,1701963.4628703226,5408066.615761873,-32040.554029355535
28,12,1694929.9510777064,5414159.676825156,-35681.25903333826
28,13,1688051.3615881864,5420118.530243573,-39823.291558097415
28,14,1681263.16020585,5425999.081346915,-44202.712198113775
28,15,1674678.5212590368,5431703.288344154,-49088.40299441114
29,0,1791510.976589878,5343722.987434025,-4238.049410180037
29,1,1784267.274936033,5349998.1338761505,-7030.773622276408
29,2,1776982.2482024485,5356309.079822382,-9513.739418765126
29,3,1769634.3655706788,5362674.477205836,-11797.709583432634
29,4,1762253.2814988373,5369068.6366654355,-13906.006974383621
29,5,1754862.933091263,5375470.821726611,-15934.180765697125
29,6,1747469.861077875,5381875.366220318,-17992.14010949724
29,7,1740090.4841752527,5388268.046776261,-20126.753962171326
29,8,1732737.7778419068,5394637.622884245,-22432.92605375041
29,9,1725421.2570095644,5400975.851853883,-24915.13679743521
29,10,1718172.3270487823,5407255.527526123,-27739.21758570382
29,11,1710997.5789935344,5413470.940154022,-30877.859571381636
29,12,1703924.0384908973,5419598.677689263,-34386.05994595631
29,13,1696955.2089307185,5425635.70518019,-38241.919309048404
29,14,1690119.6055143871,5431557.320192454,-42488.91384779656
29,15,1683419.6916615136,5437361.388690235,-47093.13326209434
30,0,1800636.955838784,5349047.731717285,-4483.971494652591
